GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
collector-shop-backend,com.collectorshop.controller,CategoryController,4,0,0,0,1,0,1,0,1,0
collector-shop-backend,com.collectorshop.controller,SellerItemController,9,0,0,0,2,0,1,0,1,0
collector-shop-backend,com.collectorshop.controller,AdminCategoryController,10,0,0,0,3,0,2,0,2,0
collector-shop-backend,com.collectorshop.controller,AuthController,10,0,0,0,2,0,2,0,2,0
collector-shop-backend,com.collectorshop.controller,ItemController,9,0,0,0,2,0,2,0,2,0
collector-shop-backend,com.collectorshop.domain,Role,21,0,0,0,4,0,1,0,1,0
collector-shop-backend,com.collectorshop.exception,GlobalExceptionHandler,83,0,2,0,23,0,8,0,7,0
collector-shop-backend,com.collectorshop.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
collector-shop-backend,com.collectorshop.service,ItemService,18,69,0,0,1,21,2,4,2,4
collector-shop-backend,com.collectorshop.service,CategoryService,16,35,0,2,6,10,0,5,0,4
collector-shop-backend,com.collectorshop.service,AuthService,91,0,4,0,18,0,5,0,3,0
collector-shop-backend,com.collectorshop.config,SecurityConfig,136,0,0,0,23,0,9,0,9,0
collector-shop-backend,com.collectorshop.config,UserDetailsConfig,36,0,0,0,9,0,4,0,4,0
collector-shop-backend,com.collectorshop.mapper,ItemListingMapper,2,30,1,1,1,11,1,1,0,1
collector-shop-backend,com.collectorshop.mapper,CategoryMapper,2,10,1,1,1,2,1,1,0,1
collector-shop-backend,com.collectorshop.security,JwtService,97,0,4,0,25,0,9,0,7,0
collector-shop-backend,com.collectorshop.security,JwtAuthenticationFilter,64,0,10,0,16,0,6,0,1,0
collector-shop-backend,com.collectorshop.dto,CreateCategoryRequest,0,3,0,0,0,1,0,1,0,1
collector-shop-backend,com.collectorshop.dto,LoginRequest,3,0,0,0,1,0,1,0,1,0
collector-shop-backend,com.collectorshop.dto,RegisterRequest,3,0,0,0,1,0,1,0,1,0
collector-shop-backend,com.collectorshop.dto,CreateItemRequest,0,3,0,0,0,1,0,1,0,1
collector-shop-backend,com.collectorshop,CollectorShopApplication,8,0,0,0,3,0,2,0,2,0
